
   68,    87,    84,    46
   36,    94,    53,    49
   65,   133,    79,    88
   98,   128,   111,    89
   97,    55,   116,    14
   65,    64,    84,    19
   92,   102,   108,    59
  119,   190,   123,   233
  110,   153,   115,   193
   93,   178,    89,   235
  103,   217,   100,   276
   79,   188,    75,   222
   69,   152,    64,   182
   50,   176,    34,   223
  256,   148,   285,   164
  223,   158,   250,   180
  198,   200,   214,   219
  231,   188,   250,   201
  218,   114,   245,   118
  184,   122,   207,   129
  162,   164,   176,   170
